Ville,Latitude,Longitude,IATA
Marseille,43.3046384916822,5.380587512275412,MRS
Lyon,45.760673597664514,4.8601696394378235,LYS
Nantes,47.216453500514525,-1.5442302747784624,NTE
Montpellier,43.611,3.8767,MPL
Bordeaux,44.82529325038888,-0.5562017943285817,BOD
Lille,50.63917372791329,3.076333755125906,LIL
Limoges,45.83576,1.26816,LIG
Dijon,47.32301605689184,5.027142558968659,DIJ
Toulouse,43.6044622,1.4442469,TLS
Tours,47.388230866422326,0.6947221708145873,TUF
La-Rochelle,46.15251607685766,-1.145160124084134,LRH
Clermont-Ferrand,45.78391444391321,3.1003471352476315, CFE
Rennes,48.10311582482322,-1.6728812853027912,RNS
Brest,48.38792979428025,-4.479243011743675,BES
Caen,49.17648361029503,-0.3482196689594141,CFR
Strasbourg,48.58287025395099,7.731594953278422, SXB
Nancy,48.68970240344171,6.174101796891322,NCY
Reims,49.23341625390808,4.022706051740367,RHE
Pau,43.29193281962733,-0.369603787755675,PUF
Perpignan,42.696697424153996,2.8802255331151128,PGF